row,identifier,column,original,new,variation
20,754151b0-0cdf-420e-81e7-5ade858e8dfb,serviceDepartmentName,Rheumatologic,Joint & Immune Clinic,Alternate Naming
21,3b4590c6-7380-427c-af25-a8cdde699e1e,serviceDepartmentName,Pathology,Pathologie,Translation
22,4a082de7-4f6d-4f01-b0dc-2737db807618,serviceDepartmentName,Renal,Kidney Health,Alternate Naming
23,0d0fbbe9-6b7d-4713-8ba1-527dad7114db,serviceDepartmentName,Gastroenterologic,Digestive Health,Alternate Naming
24,9641af55-358d-4639-90bf-babda5d649dc,serviceDepartmentName,Speech Pathology,Spraakpathologie,Translation
25,f0c53802-4474-4ac6-9df7-327635ba9da1,serviceDepartmentName,Pediatric,Child Health,Alternate Naming
26,19b5024c-eee2-4362-8ccb-cb6e42e14ce9,serviceDepartmentName,Primary Care,General Practice,Alternate Naming
27,d1da4bba-1ed9-4ae6-a5f4-4940f5114a9a,serviceDepartmentName,Gynecologic,Gynaecologisch,Translation
28,bdfdb88e-ae4f-40d7-bad0-e4d2f9dbd648,serviceDepartmentName,Optometric,Optometrisch,Translation
29,8034f222-b4a4-45c3-b4dc-5b1949523e70,serviceDepartmentName,Endocrine,Endocrijns,Translation
30,483b7b7f-e2b1-46c9-8f2f-bda2b50ad6d5,serviceDepartmentName,Speech Pathology,Spraakpathologie,Translation
31,76c6bf55-a9b9-42bc-a350-0fcaad785312,serviceDepartmentName,Neurologic,Neurologisch,Translation
32,01df3805-5f18-4cea-9b28-9a8432a88b74,serviceDepartmentName,Optometric,Optometrisch,Translation
33,91340a41-9333-4293-ba04-a0d5d997e4bf,serviceDepartmentName,Pulmonary,Long-,Translation
34,a97e76ef-ebef-4ae1-89c3-a12df0bed3ed,serviceDepartmentName,Musculoskeletal,Bone & Joint Clinic,Alternate Naming
35,6e323ff4-c345-495e-b8fa-29e6831520ca,serviceDepartmentName,Respiratory Therapy,Ademhalingstherapie,Translation
36,5516c1a6-45d3-4a2c-8826-8550d171a798,serviceDepartmentName,Psychiatric,Mental Health,Alternate Naming
37,690aae3f-ade5-4235-84d4-09975748c032,serviceDepartmentName,Respiratory Therapy,Ademhalingstherapie,Translation
38,4d543a0e-b3e5-47e4-a261-a3d28bdbf1f8,serviceDepartmentName,Plastic Surgery,Plastische chirurgie,Translation
39,5447353b-c9dc-4fb4-b567-7aaf4f462933,serviceDepartmentName,Toxicologic,Toxicologisch,Translation
40,0f32e315-7a2b-45d6-926d-076cd58cf189,serviceDepartmentName,Respiratory Therapy,Ademhalingstherapie,Translation
41,54496139-add6-4d20-93f3-f048d814a978,serviceDepartmentName,Anesthesia,Anesthesie,Translation
42,e675e7e7-f848-419a-91fa-1e143cde8704,serviceDepartmentName,Rheumatologic,Joint & Immune Clinic,Alternate Naming
43,56123a73-379e-44d2-a764-10c23f6b772a,serviceDepartmentName,Diet Nutrition,Dieetvoeding,Translation
44,94307158-03cd-4178-b578-b202a834a79f,serviceDepartmentName,Plastic Surgery,Plastische chirurgie,Translation
45,1d60ee66-1540-42f1-8f22-070ded39abe0,serviceDepartmentName,Urologic,Urologisch,Translation
46,4c8909e3-1d54-4d05-b0de-ca69debcb6d2,serviceDepartmentName,Genetic,Genetisch,Translation
47,6c77700a-55d6-4f9b-85b0-3a351c16dc39,serviceDepartmentName,Pulmonary,Long-,Translation
48,ec319b23-c7ff-4268-b14b-bea9404f72f3,serviceDepartmentName,Renal,Kidney Health,Alternate Naming
49,5b30f894-8122-408e-b24f-550f4e7aef59,serviceDepartmentName,Cardiovascular,Heart & Vascular Center,Alternate Naming
50,a9c0fdec-6c25-4ad6-9dcc-668fa4007b48,serviceDepartmentName,Emergency,Noodgeval,Translation
51,f117f274-1840-4ff8-966d-a609aa80ddfc,serviceDepartmentName,Pharmacy Specialty,Medication Services,Alternate Naming
52,b9be64e1-b08d-4f95-8d8f-1e8bcac8d101,serviceDepartmentName,Public Health,Community Wellness,Alternate Naming
53,fc1f14ac-a6bb-429a-8a6e-e1d2b7815143,serviceDepartmentName,Midwifery,Geburtshilfe,Translation
54,1745c170-d7bc-4fdf-8948-aff1182e1a8e,serviceDepartmentName,Infectious,Infection Control,Alternate Naming
55,7d79ab44-c633-4f19-9958-07d2be77e40e,serviceDepartmentName,Cardiovascular,Herz -Kreislauf,Translation
56,711f02ac-e905-4731-bd38-7e53f882006a,serviceDepartmentName,Pediatric,Pädiatrisch,Translation
57,c17c1820-23f6-40e8-8978-25ad137e21d5,serviceDepartmentName,Obstetric,Pregnancy Care,Alternate Naming
58,ad21e2ab-aac3-4d22-bbb4-7ebfce0efed3,serviceDepartmentName,Optometric,Optometrisch,Translation
59,4c407098-5dd6-4593-b1f2-c908e38dbb7e,serviceDepartmentName,Nursing,Patient Care,Alternate Naming
60,ca9553d2-44e8-4777-83b2-67e216396b7a,serviceDepartmentName,Pathology,Pathologie,Translation
61,eda0f2f3-10fd-41ca-941a-7e9c915ad4d1,serviceDepartmentName,Cardiovascular,Heart & Vascular Center,Alternate Naming
62,1f1472db-c7ff-4f21-8839-e2b5409d108c,serviceDepartmentName,Pediatric,Child Health,Alternate Naming
63,92eb4614-4b4f-4248-8e49-720d2225137e,serviceDepartmentName,Dentistry,Tandheelkunde,Translation
64,9505de76-3ae0-4936-8170-b9484f130b23,serviceDepartmentName,Nursing,Verzorging,Translation
65,101efc05-873e-40dd-bdcb-54acb369907d,serviceDepartmentName,Public Health,Volksgezondheid,Translation
66,350b62e7-9712-41a9-aecb-26826fe47e69,serviceDepartmentName,Physiotherapy,Fysiotherapie,Translation
67,827254df-3830-4e4b-83d4-540a526aea43,serviceDepartmentName,Renal,Kidney Health,Alternate Naming
68,fc961495-3051-4587-bec9-787d2a0f12d3,serviceDepartmentName,Psychiatric,Mental Health,Alternate Naming
69,12d06ce5-dff4-4562-8464-77d001f59b1c,serviceDepartmentName,Pediatric,Child Health,Alternate Naming
70,a2ab116f-f0d6-4eb0-8629-9940a6a48f65,serviceDepartmentName,Urologic,Urologisch,Translation
71,7ffd5e75-5fee-4d78-8052-1e37dddfc648,serviceDepartmentName,Geriatric,Geriatrisch,Translation
72,29ae1d3a-2512-4961-880b-6a4cfcec2c1d,serviceDepartmentName,Laboratory Science,Diagnostic Lab,Alternate Naming
73,1e1eedd9-7b19-4256-8c44-605e8ccde8ad,serviceDepartmentName,Laboratory Science,Diagnostic Lab,Alternate Naming
74,e5a2a4ef-a5fd-4acb-98a4-85f5a72125ce,serviceDepartmentName,Gastroenterologic,Digestive Health,Alternate Naming
75,abe520ec-1fe1-49cd-8a54-e75953bdfba8,serviceDepartmentName,Neurologic,Neurologisch,Translation
76,c21f2252-6321-4a69-b151-f48f111566e4,serviceDepartmentName,Gynecologic,Women's Health,Alternate Naming
77,bf7b6b3c-b1ca-41c3-8061-d029cb1d6d78,serviceDepartmentName,Geriatric,Elder Care,Alternate Naming
78,de9ac8b8-640b-4b28-8322-b4ff856df911,serviceDepartmentName,Renal,Nieren,Translation
79,57630d70-0eb7-4062-a807-74606da638b2,serviceDepartmentName,Midwifery,Geburtshilfe,Translation
80,ee3c763d-2997-4088-ba31-24df44f10516,serviceDepartmentName,Neurologic,Neurologisch,Translation
81,d49d81b9-54d5-4ee1-b160-77f5d07aae7f,serviceDepartmentName,Public Health,Volksgezondheid,Translation
82,34eba27e-aac4-4839-a9d6-cff87b67e167,serviceDepartmentName,Musculoskeletal,Bone & Joint Clinic,Alternate Naming
83,daacae0c-c983-43fa-9102-9ff49930036a,serviceDepartmentName,Endocrine,Endocrijns,Translation
84,3408850e-0fdc-46f4-aee6-0ff3492cd84e,serviceDepartmentName,Psychiatric,Mental Health,Alternate Naming
85,7166c54b-9305-4571-9e69-b4b0b54d83e5,serviceDepartmentName,Toxicologic,Toxicologisch,Translation
86,b4fecb14-b2b4-40cc-a636-c72f584ca7a8,serviceDepartmentName,Midwifery,Maternity Services,Alternate Naming
87,38b7db84-c39a-41ec-92b4-6ef212905a3a,serviceDepartmentName,Diet Nutrition,Dieetvoeding,Translation
88,09463e6f-3215-400e-a272-e2af92126ff1,serviceDepartmentName,Psychiatric,Mental Health,Alternate Naming
89,87dbfdda-8944-4eca-aab6-5b1daa5611a2,serviceDepartmentName,Dermatology,Dermatologie,Translation
90,7766f556-ce51-4ffc-943d-da2a7bacbd85,serviceDepartmentName,Toxicologic,Toxicologisch,Translation
91,da6b236d-18a8-4f2e-843a-69ea1a6ed48d,serviceDepartmentName,Gastroenterologic,Gastroenteroloogiline,Translation
92,4a9007ca-67a1-4225-84e8-8209f7edf89b,serviceDepartmentName,Podiatric,Podiaatriline,Translation
93,c1402fa6-756a-49be-a8c7-d9f108e0eb59,serviceDepartmentName,Endocrine,Hormonal Health,Alternate Naming
94,cb89ba42-095b-4ec0-8b7f-62c4a371e89d,serviceDepartmentName,Musculoskeletal,Lihas -skeleti-,Translation
95,32c973a4-2580-4532-a7c0-16ad9e4b4102,serviceDepartmentName,Endocrine,Hormonal Health,Alternate Naming
96,767d3080-74d5-4980-b2ac-96120fc54496,serviceDepartmentName,Geriatric,Elder Care,Alternate Naming
97,f5492fe4-471d-4312-aeee-86d52536c20e,serviceDepartmentName,Genetic,Genetics Unit,Alternate Naming
98,704b2b61-62c7-431e-9da9-cdbca1c61284,serviceDepartmentName,Gastroenterologic,Gastroenteroloogiline,Translation
99,816c03df-3e33-4680-85c0-826ac67c6d5a,serviceDepartmentName,Hematologic,Hematoloogiline,Translation
100,d3e8b9f1-798b-47b9-9954-748a029729f9,serviceDepartmentName,Gynecologic,Women's Health,Alternate Naming
101,97e379e9-f919-4ea4-9d0b-bc0c6635897f,serviceDepartmentName,Infectious,Infection Control,Alternate Naming
102,df1f2a73-fc78-4d8e-b085-3e44a546947b,serviceDepartmentName,Speech Pathology,Sprachpathologie,Translation
103,0604b061-30d2-4eb7-9449-5504b90c55bf,serviceDepartmentName,Laboratory Science,Laborwissenschaft,Translation
104,f6ef5d0a-25a1-4101-bf57-4e77fac49cf7,serviceDepartmentName,Rheumatologic,Rheumatologisch,Translation
105,6850f3a3-4507-4b46-b271-3810c5030168,serviceDepartmentName,Gynecologic,Women's Health,Alternate Naming
106,7159cd07-cb44-402b-b69e-14bce47d7cfe,serviceDepartmentName,Renal,Nieren,Translation
107,df561807-8c25-43ff-b4cc-0b62e7bb695c,serviceDepartmentName,Respiratory Therapy,Hingamisravi,Translation
108,c8e7e4e5-d3eb-4a23-b64b-f06e22a23be8,serviceDepartmentName,Otolaryngologic,Otolarüngoloogiline,Translation
109,9b4a4276-da41-4bbc-b40b-5ddba649ec91,serviceDepartmentName,Hematologic,Hematoloogiline,Translation
110,b07ce4cb-bc28-4c8c-9e6a-0f46a893e447,serviceDepartmentName,Podiatric,Podiaatriline,Translation
111,473d6d85-56d2-4bf9-9b82-7bb955fc6343,serviceDepartmentName,Gastroenterologic,Gastroenteroloogiline,Translation
112,85bd8d14-3cd3-45dc-8368-557f39795e8c,serviceDepartmentName,Gynecologic,Women's Health,Alternate Naming
