identifier,serviceDepartmentName,address,isPartOf,contact
a0fe9e1b-7910-4825-9057-df41835b8afb,Speech Pathology,30c32323-c1b1-49c4-9f1f-f97c71cff814,ac7c8803-e01b-4f50-b5d9-7ef760ef1471,Contact: 001-674-554-2237x50579
7593afba-1a17-4460-bb72-951a05613af9,Anesthesia,3fcb34fa-bc39-41b3-bb1d-867704e6748a,cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Contact: 001-982-736-9582x0767
343b4fb0-912d-491d-b288-a67e030c98e8,Dentistry,a1515607-964a-470c-bc87-9b741d878f9f,cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Contact: 572-318-8694
7a282c8a-8b67-40d3-85d7-99676d9635ef,Oncologic,cc4da021-dd62-4222-99ef-e28b3bcb50b3,cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Contact: 001-350-739-4678x410
618701e8-699a-423f-a4b2-f62c610097fb,Obstetric,9aca0c4a-d24e-4104-9dd2-6234213124bd,cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Contact: +1-834-676-8064x7266
4dd6862a-5ea2-4dfb-8c33-cf4d783d4a6d,Dentistry,c5ac7520-cd46-48fe-b2b7-2bd2c97be2af,cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Contact: (292)750-6774x13536
e412eb0b-d260-430d-aedc-5fdd27ef0967,Gynecologic,c1308a09-cddd-43bb-b56a-a13d13f1484a,cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Contact: 611.829.0320x8662
88054048-f53a-4cec-8fbf-545a70bef8fb,Cardiovascular,caa0a679-6e83-47b2-8857-d8c3b4a06976,cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Contact: 6278211744
44672c65-d1e0-450e-9602-634b08453d3e,Pharmacy Specialty,03743263-4a06-49aa-827a-cd0de15093b0,cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Contact: 271-304-3748x36160
4f0fa9db-4b6a-4fea-81cf-7f935e6cc9e4,Podiatric,f325f875-e417-4ba3-a4ee-c62b51306e5c,cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Contact: 3004902927
8f8ac4cd-be16-4d6b-b290-d831052d143c,Community Health,b2f11ef9-d486-4482-8078-cb124b7350d1,cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Contact: (811)319-1317
dc0ea928-b7b6-4710-b93c-8d791d793750,Podiatric,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Contact: 282.581.2568x218
fea0eb70-ca8b-425c-baab-6a44182165fc,Toxicologic,9aca0c4a-d24e-4104-9dd2-6234213124bd,b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Contact: (858)758-9864x3912
5a57cde5-f13f-440b-889b-9a03bc3548c5,Anesthesia,b693f4ef-1ad5-46c3-acb0-3f486ed63ea4,b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Contact: 650.600.2432x21772
0a73a9a9-df49-4c15-a38b-c512d13d78bc,Neurologic,b5c03f6f-94e4-4c44-a3fb-dbda86ae9d5c,b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Contact: (755)531-8724
abbf9e6d-9e19-4188-9da1-1d7aa281becd,Oncologic,b8f35c26-d13e-439c-9cb6-f1f0e4751694,b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Contact: 001-835-261-4685x053
897e7d87-6bcf-4a76-81d8-f799f76077bb,Rheumatologic,6d80ab08-c963-4148-904d-ff6623f1b67e,8c69778f-fd42-4697-a511-16565c646036,Contact: 624-704-1560x432
8616ba88-d296-4670-b35f-da3eed38505b,Otolaryngologic,abe0a177-1c5e-4698-b7a0-2afd30d6863f,8c69778f-fd42-4697-a511-16565c646036,Contact: +1-212-273-9991x6404
54536cba-289f-48b4-9b56-6e06cc800b04,Infectious,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,8c69778f-fd42-4697-a511-16565c646036,Contact: (963)998-3083
55b26dc6-f634-4bae-9e7b-e7ad97d8c97d,Geriatric,7fa74d8a-ff88-4c82-bf99-d273d5627386,8c69778f-fd42-4697-a511-16565c646036,Contact: (551)906-5273x690
29685a0e-646e-48a9-81f1-011b69d36af7,Dentistry,402492a3-c334-4558-82ce-e5817e15aa2c,8c69778f-fd42-4697-a511-16565c646036,Contact: (266)673-4129
2f40d4ef-bfb5-43c2-bd16-2e6fe93cef4b,Pharmacy Specialty,65e04993-7f41-4fed-9e70-e79933a1d1c2,7aa56a18-1fd3-4017-97f9-8d1ecff4c56b,Contact: 824-926-4865
9af1b456-4034-4ca4-9eb6-217876cf14a2,Pharmacy Specialty,4e60678b-82f4-448a-b8a5-5d6bf2ded00f,7aa56a18-1fd3-4017-97f9-8d1ecff4c56b,Contact: 844-246-9807x88364
8e383437-6a1c-4817-8584-d26cf7243a0c,Pathology,1d8cca3b-6261-4790-83a0-61c445a16970,7aa56a18-1fd3-4017-97f9-8d1ecff4c56b,Contact: 940-907-6858
b4159391-bba9-448a-be7c-be1e8e4e7077,Endocrine,1af55c26-8808-4ebc-b5d4-cd35a08c3a00,7aa56a18-1fd3-4017-97f9-8d1ecff4c56b,Contact: 492.990.9534x6131
ef1a030c-fba9-4e75-a0f3-7df2a0fe1900,Plastic Surgery,483c1a4e-a91d-42cd-8bf0-6f64b4178592,6c4c3935-379d-4da1-ade6-c5e9b6e355f6,Contact: 657.827.4758x3058
e550dcea-a670-4b66-88fc-abb3d02a862b,Genetic,d974c146-e8ec-41b3-9145-91aef03d866a,6c4c3935-379d-4da1-ade6-c5e9b6e355f6,Contact: +1-914-928-2215x300
0cf04051-8606-4bc4-92db-fdc913f60dff,Gynecologic,106861d3-633d-4c54-b304-59cc30c42d61,6c4c3935-379d-4da1-ade6-c5e9b6e355f6,Contact: (479)929-4145
54700834-0af2-4ed3-9ee1-0379e9afa682,Anesthesia,a867a0f0-a8e6-4772-b9cd-e60cab1e6794,6c4c3935-379d-4da1-ade6-c5e9b6e355f6,Contact: 219-914-4952
36c55e3b-a203-4291-a793-f6a967ab4d37,Pulmonary,7b2e1b82-e89d-4815-8f92-8dc519724ce3,9f982188-3744-4a64-8c24-9558f2ad985f,Contact: 564-876-7626
4483cf58-312b-4cf8-855f-2b17a0c9293a,Gynecologic,ea455fc7-c80c-4483-b4dd-7624c3d9b3b0,9f982188-3744-4a64-8c24-9558f2ad985f,Contact: 427-955-4753
5700fb19-b473-4514-a0a7-446bf9c8d852,Genetic,7b2e1b82-e89d-4815-8f92-8dc519724ce3,9f982188-3744-4a64-8c24-9558f2ad985f,Contact: 472.318.9975
45b62271-29c5-4e2a-90ec-b7bfa9333123,Oncologic,30c32323-c1b1-49c4-9f1f-f97c71cff814,9f982188-3744-4a64-8c24-9558f2ad985f,Contact: (411)465-5450x342
1450e2ed-3da1-44bc-b565-e82a79a975ca,Radiography,6d80ab08-c963-4148-904d-ff6623f1b67e,b4a1ca79-5718-4da2-827c-013f38018399,Contact: 001-284-310-6167x722
d5be1022-1ea7-4756-a1d5-77a426b4a0a7,Dermatology,d1f0c570-bf55-45ce-98a1-a54654a6087c,b4a1ca79-5718-4da2-827c-013f38018399,Contact: (991)641-9913x4628
2cb16080-a06d-4653-9674-94dfc399daf6,Emergency,1d8cca3b-6261-4790-83a0-61c445a16970,b4a1ca79-5718-4da2-827c-013f38018399,Contact: +1-864-622-1385x7158
23d8c480-0e67-487c-8f12-7621756ab870,Infectious,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,b4a1ca79-5718-4da2-827c-013f38018399,Contact: (327)733-1276x153
9def8df6-3ca3-48ca-b307-60dc224c85db,Renal,69fcbef0-275f-475c-83f3-f74dd3861b58,75f2bc20-a7f5-495c-9e62-d43f261908b9,Contact: +1-257-459-7844
8c662964-801f-4c5f-b21a-11284586ce14,Cardiovascular,f325f875-e417-4ba3-a4ee-c62b51306e5c,75f2bc20-a7f5-495c-9e62-d43f261908b9,Contact: 001-814-872-1078x889
567ffb07-cbc9-4874-9bb3-aa4c5147a3fa,Podiatric,1fe253b0-7980-4aaa-a93b-4418b170b1ed,75f2bc20-a7f5-495c-9e62-d43f261908b9,Contact: 357.228.0720
df0644a8-c3d7-4f29-a368-db81da34effa,Respiratory Therapy,28fafd04-559b-4975-b2d6-50af313b32b7,81c16e98-4d6c-4782-ae95-83eabda17da2,Contact: 705-843-1032
87b8d77e-f397-4943-a640-ca97fc88e170,Endocrine,d1f0c570-bf55-45ce-98a1-a54654a6087c,81c16e98-4d6c-4782-ae95-83eabda17da2,Contact: +1-856-436-0939x070
94334bb0-103b-4901-b37f-af64c6839f4a,Surgical,2e0885fc-5da2-4c06-b146-b0800a2cf6a9,81c16e98-4d6c-4782-ae95-83eabda17da2,Contact: +1-625-944-7586x7548
66be149c-5503-413e-88c2-4eabca968927,Community Health,abe0a177-1c5e-4698-b7a0-2afd30d6863f,ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f,Contact: +1-456-540-3746x62273
454b57c1-ee87-4f00-9e90-648113f333af,Community Health,c110412c-3843-4ed6-a586-94b6113c1836,ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f,Contact: 282.392.7173x62108
182f0297-b902-4590-bf14-d211ca1e5dac,Toxicologic,6d80ab08-c963-4148-904d-ff6623f1b67e,ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f,Contact: 001-822-993-5511
e4146592-92ce-41fd-95ed-602920283b56,Endocrine,3fcb34fa-bc39-41b3-bb1d-867704e6748a,ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f,Contact: 439.439.9794x12613
468f6365-4405-462b-b016-dddaecb501ee,Podiatric,1db53334-fb03-43a1-9576-d4155ec17dbe,e19b5837-1c6a-4b5e-bd85-9725c707aef9,Contact: +1-552-775-8116x00356
1fb861a3-96d5-4ecf-ad6f-ee53ed1a4748,Urologic,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,e19b5837-1c6a-4b5e-bd85-9725c707aef9,Contact: 617-997-4360x55218
9ed03a7e-cfc8-4b4e-8ab6-8ee401975d43,Plastic Surgery,69fcbef0-275f-475c-83f3-f74dd3861b58,e19b5837-1c6a-4b5e-bd85-9725c707aef9,Contact: +1-822-289-5716x4740
cfa243f7-74a4-4022-a7b1-5c59cf1b0e9c,Pulmonary,8923cba1-7874-466b-bc34-e6ebaeaaec48,ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5,Contact: 224-754-9277
ceb885eb-6a02-4ac1-a7bc-b21ae8497caa,Gastroenterologic,a1515607-964a-470c-bc87-9b741d878f9f,ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5,Contact: 4428921687
21d98c64-56ee-4fe7-b5a1-82c5d246fd22,Dermatology,a867a0f0-a8e6-4772-b9cd-e60cab1e6794,ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5,Contact: 001-285-892-1131x373
97046d7c-5ae4-4257-83a9-da5b546e8226,Emergency,4b1678e4-5f20-4406-b438-b4e470f8dd99,ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5,Contact: 878-704-7637x089
900e7701-f888-432e-b45a-6a8736e11fc9,Plastic Surgery,11fba56e-300a-4187-9cb9-f9aabf4ddeaa,bbf9bb01-27f9-4728-8618-fc1e6a480542,Contact: (442)824-3156x244
e80a2294-f3cf-4ea6-aac4-11580716e1dd,Geriatric,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,bbf9bb01-27f9-4728-8618-fc1e6a480542,Contact: 326-561-1938
fc34ed28-73e4-4678-be0d-894c52f29d2c,Geriatric,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,bbf9bb01-27f9-4728-8618-fc1e6a480542,Contact: +1-991-622-9990
7e5c99ac-0f95-488a-8960-0a0436bbde06,Dentistry,402492a3-c334-4558-82ce-e5817e15aa2c,a8b56f85-346d-4b7e-80d3-d1af353e0c86,Contact: 600-393-2738
8b9d2bd6-d88c-45ba-9f69-5b4e267ce9c1,Cardiovascular,8e751eb7-64d0-4913-991b-8adf0202861c,a8b56f85-346d-4b7e-80d3-d1af353e0c86,Contact: 8957483940
47ab46ab-f685-41f3-9427-148812259427,Cardiovascular,0b4cba0a-317e-4b1d-9b83-acd5e2ccddd8,a8b56f85-346d-4b7e-80d3-d1af353e0c86,Contact: 001-851-949-2500x96063
2cede02f-0114-4577-900f-b0684b3d1b2a,Optometric,043d2c47-3b56-435e-85c5-96d442d01ba3,a8b56f85-346d-4b7e-80d3-d1af353e0c86,Contact: 001-497-581-0012x669
07a1cfb2-1b85-481d-8c49-8ceaa6a1e781,Community Health,a032149d-06fa-4b60-a063-75b8bb937826,a8b56f85-346d-4b7e-80d3-d1af353e0c86,Contact: 5667426056
08415966-ad7b-487f-befd-e1439889cbe1,Respiratory Therapy,28cdc38a-85b3-43d3-b56b-6c0dcff0c8ac,4ec985ff-94b2-4b9d-8881-9f421a42b629,Contact: (678)703-5729x33031
cb574070-4e04-42b4-bb9f-636e5477afc1,Primary Care,1d8cca3b-6261-4790-83a0-61c445a16970,4ec985ff-94b2-4b9d-8881-9f421a42b629,Contact: (929)464-0619
38d34dd6-c90f-4f1a-a147-3a02cad928d4,Pharmacy Specialty,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,4ec985ff-94b2-4b9d-8881-9f421a42b629,Contact: (962)587-9509x83386
8a5082e2-1407-4f9e-ba95-b4f6925f47cb,Pathology,a53011a2-3d74-49ee-a514-1471ea951570,4ec985ff-94b2-4b9d-8881-9f421a42b629,Contact: 422-840-5129
c9e1893e-c3fb-4743-8361-194e41a44908,Urologic,abe0a177-1c5e-4698-b7a0-2afd30d6863f,4ec985ff-94b2-4b9d-8881-9f421a42b629,Contact: (620)583-7946x039
b1c2ed56-1ae3-437f-aa88-496556547b4d,Pharmacy Specialty,ac33f644-4053-4188-b39d-78f5d658b1b3,246cb09c-ed28-408d-bdaa-3bfa6ab01563,Contact: 575-540-4154x353
1f265d01-60e2-48c1-af5f-7bd63021c8ad,Speech Pathology,2728ec95-2b52-4ab1-a367-ad9e8dcd7d64,246cb09c-ed28-408d-bdaa-3bfa6ab01563,Contact: +1-842-356-0808
33744da6-b58e-4a1c-8df5-3f9b4102364b,Musculoskeletal,140a642e-10e8-47f8-8986-148f8b3e00e7,246cb09c-ed28-408d-bdaa-3bfa6ab01563,Contact: 941.618.6852x21442
d9566c07-ea9b-44dd-b0b0-bed83f41b5b5,Rheumatologic,11fba56e-300a-4187-9cb9-f9aabf4ddeaa,246cb09c-ed28-408d-bdaa-3bfa6ab01563,Contact: +1-793-317-3564
76ad2cfc-23f4-4e14-bc8b-a273caa7b1c8,Obstetric,c110412c-3843-4ed6-a586-94b6113c1836,8ee4fd02-1cb6-4f67-86e7-85ad1bce35d8,Contact: +1-658-221-7675x9472
10fb5581-cccb-4dfb-b0a1-baa56921c1c0,Otolaryngologic,dd6af484-024d-45de-af44-eaeb6734162f,8ee4fd02-1cb6-4f67-86e7-85ad1bce35d8,Contact: 292.211.6341x694
699303f1-bde8-4282-bc76-ff58677e0399,Infectious,1af55c26-8808-4ebc-b5d4-cd35a08c3a00,8ee4fd02-1cb6-4f67-86e7-85ad1bce35d8,Contact: 553.832.1189x24578
99225957-ee70-4259-a62a-e4c4c703e71a,Hematologic,8f3e64f4-7914-4a61-ae65-afeb1b674518,8ee4fd02-1cb6-4f67-86e7-85ad1bce35d8,Contact: +1-325-320-5218x593
85e2b078-7a3e-4905-aeef-4b09bc7838b3,Urologic,b693f4ef-1ad5-46c3-acb0-3f486ed63ea4,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Contact: +1-574-759-1306x485
beabdee5-c861-4c36-b916-751942a699a5,Surgical,e10b4aad-a92d-4b05-a9bc-cee9a71b80ef,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Contact: 001-717-720-1745x470
5a55805d-d0cd-4cc6-be14-9e5fa35c56b3,Endocrine,1ee1723b-4a96-46a4-a752-41027acf6bcc,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Contact: 001-355-763-0698x4690
17bcd323-24b4-4126-af1f-7a150631d91b,Psychiatric,3fcb34fa-bc39-41b3-bb1d-867704e6748a,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Contact: (508)843-5391
b2363b7e-a221-4908-a4ed-eefd5140094b,Public Health,7b2e1b82-e89d-4815-8f92-8dc519724ce3,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Contact: +1-440-217-4632x7020
0de68b59-c484-4813-9eab-d8f7178234e8,Radiography,ac33f644-4053-4188-b39d-78f5d658b1b3,c15648ff-df0d-4301-888c-ac4e5a9414b8,Contact: +1-533-474-4958x57980
3b6b8130-f687-4f7a-b683-4a01bdb5ff1d,Hematologic,b8f35c26-d13e-439c-9cb6-f1f0e4751694,c15648ff-df0d-4301-888c-ac4e5a9414b8,Contact: 821-909-8199
0399a6c0-653d-4b24-b32d-6cfea681dd8c,Neurologic,1db53334-fb03-43a1-9576-d4155ec17dbe,c15648ff-df0d-4301-888c-ac4e5a9414b8,Contact: 001-298-958-3294x8469
ecf75dbc-3f54-4f83-911d-c9fc92162634,Gastroenterologic,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,c15648ff-df0d-4301-888c-ac4e5a9414b8,Contact: (648)741-5948x4771
6f8b6cbe-b759-43ec-9384-3901b020b8d4,Emergency,7680891b-6bb6-404e-a0db-22d329e316ad,c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Contact: 301-259-1839x00047
463b76af-3c8c-4cf6-bda2-d21f7fe88e46,Psychiatric,e10b4aad-a92d-4b05-a9bc-cee9a71b80ef,c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Contact: 644.336.9774x50999
27503d1e-1756-40d4-b187-594d577b1f95,Musculoskeletal,8d2ad974-4a86-4655-8a9d-499ca2698c2d,c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Contact: (374)354-9328x7747
2c2747c0-ff52-43ab-afe3-e7eaede879c2,Diet Nutrition,c9a6e611-613f-418d-896e-f1a5ac707464,c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Contact: +1-404-655-5065
8a6464fd-0b58-46c8-b9e3-2aa0e2238f55,Renal,dbb59fc2-5cff-496e-bd03-c81f7ff35029,c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Contact: 645.649.5150x79259
286334df-720c-4d00-8077-c6f07dba43cf,Endocrine,fbc59e92-ca12-49ad-9963-05b371b221e4,7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Contact: 253.710.6769
758eff25-033f-492f-ad9d-81e70685e760,Hematologic,c110412c-3843-4ed6-a586-94b6113c1836,7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Contact: 232-671-6804x120
c64775d5-a91c-4219-8649-a7606c50ccc2,Plastic Surgery,c20166e3-ca68-4a98-b48e-f9a86aeb5a32,7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Contact: 001-541-257-9545
71347c31-3cf2-495c-851a-3e66bd623605,Radiography,4b1678e4-5f20-4406-b438-b4e470f8dd99,7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Contact: 506.950.8318x30852
2e001a75-6efa-4a18-be6f-85818a6993de,Dentistry,140a642e-10e8-47f8-8986-148f8b3e00e7,30f2c485-49b5-44fb-92a6-51d7c069c542,Contact: 342.405.4543x600
5481b307-993c-47c3-b953-249aff29867d,Pediatric,03743263-4a06-49aa-827a-cd0de15093b0,30f2c485-49b5-44fb-92a6-51d7c069c542,Contact: 001-420-408-2921
6391a567-684e-4ede-afca-7a048c39ceab,Optometric,caa0a679-6e83-47b2-8857-d8c3b4a06976,30f2c485-49b5-44fb-92a6-51d7c069c542,Contact: 7547590390
931e0d80-fc7e-4ebb-9616-7a2f57a47b99,Obstetric,39b66d71-951a-4518-87e7-7e2b6b291a13,3239d04b-cbab-4b51-b85c-5fdcbad3116b,Contact: +1-455-316-3594x23829
8f40f920-952d-4a73-94f6-ca78519662cc,Podiatric,043d2c47-3b56-435e-85c5-96d442d01ba3,3239d04b-cbab-4b51-b85c-5fdcbad3116b,Contact: +1-791-392-5474x7266
db0b921f-426a-4b9c-a653-b39e513527a3,Community Health,b2f11ef9-d486-4482-8078-cb124b7350d1,3239d04b-cbab-4b51-b85c-5fdcbad3116b,Contact: (857)515-5452
