identifier,healthcareOrganizationName,address,contactPoint,changed
23ae8a10-31f3-4834-9055-4f745557b546,Long-Martinz Tervisekeskus,6a390dfa-83e0-4316-9c06-90ef9580ba52,11997c8b-68e4-40c6-9235-282c88d866c7,True
d49236da-62a4-4ef1-a261-9f77ffefb249,Johnson PLC Gesundheitszentrum,93ad153b-1897-4be3-a089-5b5f460cbc8c,2ebe2dfb-25b5-4dda-8274-2794539996f4,
8bafdfe3-f438-472c-a454-7de0ac1a89f6,BB Zorg,7021c769-bd8d-4d27-9271-5b496b5360d1,069edec2-df8b-462c-8308-406366ff30f3,True
b0354ab7-c8bb-4f77-8573-e8875f471320,GR Gesundheitszentrum,24cecb1a-7a96-4954-b5d9-471082010e51,7bed84e6-10cc-4808-9b49-94b86d154c3b,True
e8278985-1465-486f-ae1d-28aa3f0f7d6c,"Coko, Wright and Taylor Gesundheitszentrum",d9bb1cb7-10cd-4ccd-afc2-a14fc62438d8,dbe249e0-3fa0-4b33-a532-3cbb47ba79b0,True
2f05976a-f7db-4734-845e-98b195b7c83b,Austin and Sons Tervisekeskus,46ca2b99-5b83-4f7a-8610-268c87fa184b,d74d354b-8313-4b7f-8c35-3db0cd054846,
7a439a39-8c54-4f39-a06e-f2756cd6c101,Reeld-Fry Gesundheitszentrum,156a6d0e-1c8a-46ad-b26e-2196a4a0e3a6,38b2dcff-98a0-4e99-9eb4-201d4407d8f2,True
54f06410-351e-4040-a57d-b283f2724e7c,GKS Gesundheitszentrum,7ca80109-e92a-4d60-ab49-06741492e3b0,e6f8fa7c-a346-4da9-a6a3-3b8481878982,True
6990ed24-7675-4902-97db-09868dfe161b,BS Gesundheitszentrum,fed175a7-fac7-4ae6-b9e7-995d53452349,daab1ce2-1e4b-41c8-ba43-e65a33b24ebd,True
3bb94f5f-335b-45a0-995f-8086d6d242a3,VT Zorg,610ee7bb-7f2e-4085-8252-8f63b72dfc23,4c0d8f5b-04ac-45a2-9964-304597e06545,True
2699c51b-e9c5-456a-ad3d-5293a09dc078,"Obrie, Gaines and Miller Gesundheitszentrum",f2c7c001-020a-4172-8cb0-5d4850339c44,492b8c93-f79c-4a14-b39c-deef78bfc599,True
3c2f9c57-8924-4f0c-a58f-dca82964a24b,FPLC Tervisekeskus,e363e355-bc92-491e-b746-39b8be5e88dc,729f641e-23dc-41ca-ae8a-d57a78ec140e,True
618a5b1f-efdd-4092-bde8-48351ca588c1,BGR Tervisekeskus,692dd979-8865-4f81-8f32-69bc75f4b9df,5ffda8ca-fd80-4189-9548-afac42694713,True
