identifier,healthcareOrganizationName,address,contact
8ee4fd02-1cb6-4f67-86e7-85ad1bce35d8,Davis-Lopez Gesundheitszenttrum,4b1678e4-5f20-4406-b438-b4e470f8dd99,Contact: +1-427-762-6623x758
fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Motgomery-Smith Zorg,b2f11ef9-d486-4482-8078-cb124b7350d1,Contact: +1-248-392-6717x3864
c15648ff-df0d-4301-888c-ac4e5a9414b8,Wallace-Francs Zorg,b5c03f6f-94e4-4c44-a3fb-dbda86ae9d5c,Contact: +1-339-810-1448x51832
c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Sosa-Stephes Zorg,1af55c26-8808-4ebc-b5d4-cd35a08c3a00,Contact: 947-459-2211x669
7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Pxearson-Brown Tervisekeskus,51783032-8066-449b-b1d7-92a07d25cefb,Contact: 3933057608
30f2c485-49b5-44fb-92a6-51d7c069c542,"Lyons, Acosta and Perez Zorgg",df8693ce-4534-42cd-bfeb-5d5f00f520f4,Contact: 467-956-2566
3239d04b-cbab-4b51-b85c-5fdcbad3116b,Simmons-Vasquez TervIsekeskus,fbc59e92-ca12-49ad-9963-05b371b221e4,Contact: 539.606.0312x502
6e3c18c9-ef1f-40a3-bc02-ba67ee04bdde,"Black, Huber and BlevinS Gesundheitszentrum",a1c2d9bf-0dcf-435b-b552-c6e86953a115,Contact: 001-277-247-3540
56e9b78d-315e-4080-b425-f4e93891aef5,"Walker, Franklin and GranT Gesundheitszentrum",6d80ab08-c963-4148-904d-ff6623f1b67e,Contact: +1-219-515-5875x408
df39ccaa-580c-49fc-bb69-e69041300879,"Fitzgerald, Collins and Haeth Gesundheitszentrum",ac33f644-4053-4188-b39d-78f5d658b1b3,Contact: 001-930-948-1077x706
c13c6688-8f1b-4be1-ad4b-a69cd16903f2,Alexander Inc Gesundheitszentrum,69fcbef0-275f-475c-83f3-f74dd3861b58,Contact: (602)537-3245x5618
6a27241f-bb9e-4a02-ac2d-f3c219518f87,Mendez Ltd Gesundhietszentrum,043d2c47-3b56-435e-85c5-96d442d01ba3,Contact: 834.608.8601
acb5959f-4eb9-4768-84a5-b1c31095e497,Singh andSons Tervisekeskus,483c1a4e-a91d-42cd-8bf0-6f64b4178592,Contact: 235-474-9220x88559
21d32e24-bb89-4746-bc3d-a91136a52df9,Hudsoon-Dominguez Gesundheitszentrum,ea455fc7-c80c-4483-b4dd-7624c3d9b3b0,Contact: 265.799.2719
d9082a42-b448-4761-905e-9c9b8bc88bcf,Lamb-Mclaguhlin Tervisekeskus,e10b4aad-a92d-4b05-a9bc-cee9a71b80ef,Contact: 242-596-3546
5b3a4595-0458-42c1-8e0e-15d3298e9a79,Green Ltde Gesundheitszentrum,a867a0f0-a8e6-4772-b9cd-e60cab1e6794,Contact: 001-580-225-0700
5ba830dc-245d-46ca-af6a-219672ef7dce,Stafford and Sons Geundheitszentrum,6c32faff-a9fa-4ea6-b8db-1a4d584d3c02,Contact: 325-866-0648x8709
2d20481a-d216-4d53-9408-8ff7d7133061,Miller adn Sons Zorg,b3191702-bb80-498d-970d-a545839137a6,Contact: 902.482.1691
754724dd-269b-4c3b-abf0-f4bd4af0a6fe,Crawford LLC Gesundheitszenrtum,a032149d-06fa-4b60-a063-75b8bb937826,Contact: 285.626.5476
054b8816-0d18-433e-befa-2faf58ba0bf3,"Johnnson, Foster and Wilson Tervisekeskus",ef208346-432f-4308-8d56-206d920c3de9,Contact: 304-794-3885x643
583678ee-f3ca-4f64-a7fa-8b8a909b471c,Richards Inc Gesundheitszentrumm,d1f0c570-bf55-45ce-98a1-a54654a6087c,Contact: (244)957-6962x029
a8ab29f1-1033-4310-ab7b-de99878f40ed,"Boyle, Ramiurez and Greer Gesundheitszentrum",11fba56e-300a-4187-9cb9-f9aabf4ddeaa,Contact: +1-829-618-8966x4440
b38e5adb-a93f-4902-88de-c9ab27c3e784,Kirk PLC  Zorg,caa0a679-6e83-47b2-8857-d8c3b4a06976,Contact: 001-265-770-8693
92b95731-13f2-4c86-ab83-f00fed2ee36f,"Snow, Hill and Duffy Gesundheiptszentrum",3fcb34fa-bc39-41b3-bb1d-867704e6748a,Contact: 637.881.3271x664
a02a1b21-a2a7-40fc-8683-ad336f844392,Farmer Group org,402492a3-c334-4558-82ce-e5817e15aa2c,Contact: +1-460-297-5929x45067
5096ccf2-067f-4ce7-b1ff-06dcf45aa79b,"Ruiz, Edwarsd and Skinner Zorg",abe0a177-1c5e-4698-b7a0-2afd30d6863f,Contact: (424)962-9264x8022
ccd9f2af-339c-4a75-83fd-46ffd03459a4,Miller and Sons Terivsekeskus,d020baee-95fc-4389-8cd6-6756583e26a4,Contact: 454-248-7278x209
1519401c-8b1f-4137-8ea2-55e08e50c79a,"Cook, Rios and Alvarez Gesundheitszentrmu",28cdc38a-85b3-43d3-b56b-6c0dcff0c8ac,Contact: 350.411.6959x75685
0d5f024a-e963-444a-a3b7-4101cbf8e26a,Brewer-Hale Gesundheitszentrmu,0b4cba0a-317e-4b1d-9b83-acd5e2ccddd8,Contact: +1-925-816-0759x944
9db31510-675d-4855-ad55-90c905765983,Davis-Johnson Gesunddheitszentrum,106861d3-633d-4c54-b304-59cc30c42d61,Contact: 001-205-378-7710x864
8c5c192f-f1c5-4dda-a828-03705672ebc7,Moyer-Smith Tervispekeskus,ce03a34d-a022-4fee-843f-b606e8b7e2da,Contact: 001-522-522-3950x760
2982100c-0372-4e33-8550-7d2b909e7f78,Waltecr-Taylor Zorg,7680891b-6bb6-404e-a0db-22d329e316ad,Contact: 001-206-222-0058
b6118bd6-553a-473a-afb9-f3a8e9e7e1ba,BarneS PLC Zorg,c9a6e611-613f-418d-896e-f1a5ac707464,Contact: 825.783.8612
469fc269-ff7a-4d86-809b-3c5bd5e8b89c,Sanders-Perkinss Tervisekeskus,a53011a2-3d74-49ee-a514-1471ea951570,Contact: 258.409.9734x09561
28b4d5b9-693d-493c-b96f-9881572abb53,Munoz-Martin ZZorg,b693f4ef-1ad5-46c3-acb0-3f486ed63ea4,Contact: 001-248-515-5257
58ccf9b4-354a-41bd-ba56-12f7600aa45e,oJhnson-Jenkins Tervisekeskus,8d2ad974-4a86-4655-8a9d-499ca2698c2d,Contact: (821)995-2069
7e3801af-d1a8-47b0-a2b3-ce34867a4ac9,Martin Inc Tervisekeskkus,2728ec95-2b52-4ab1-a367-ad9e8dcd7d64,Contact: (494)851-6425x858
25cc2478-276d-4e19-b924-e06aaef5baef,Fortbes-Hess Gesundheitszentrum,4e60678b-82f4-448a-b8a5-5d6bf2ded00f,Contact: 3996813998
40fe81ec-b259-46a0-9591-99005e7cfaad,Flovres-Lowe Zorg,b8f35c26-d13e-439c-9cb6-f1f0e4751694,Contact: +1-573-928-8182x02869
55a3a129-67ba-4b1a-9695-4911a4e0ee5b,Hendricks IncZorg,90a00ee1-70e2-4e61-a29b-24d72bdc9c10,Contact: 987.807.9148
f3fa8613-90ed-41f4-a4ab-a3f67a658abe,Bryant nIc Gesundheitszentrum,9bde299d-da28-4b7a-8d6d-99a628d798b4,Contact: (581)247-3142x51202
3ddf55b2-0151-48db-af8c-96a918f7e499,Baxtezr-Cooper Gesundheitszentrum,8f3e64f4-7914-4a61-ae65-afeb1b674518,Contact: 774.343.0758
a8f614bd-7b2a-4677-86b7-e7cbbe0d24ed,Hall and Sons Tervisekeskkus,c2185e77-dc58-4a6a-a193-db51f6aca9b4,Contact: (746)892-1658x735
f4b445aa-edfd-4291-afdb-5c0dbe4a565e,Moore-CaNtu Zorg,1ee1723b-4a96-46a4-a752-41027acf6bcc,Contact: 673-916-6787x99368
c57842a9-934c-472a-8c72-fe13fbf28c1c,Hoover Group Tervissekeskus,f325f875-e417-4ba3-a4ee-c62b51306e5c,Contact: 7612435212
852d2ee5-0061-4d30-9907-3286329cd43a,"Donovan, Gonzalez and Figueroa Zorg",9aca0c4a-d24e-4104-9dd2-6234213124bd,Contact: +1-561-882-3366x706
b6ffe12c-1a6f-4c9a-b1f7-e90f40709bd4,"gibson, Taylor and Holmes Zorg",565af699-d3bb-43d7-9e12-425cb42fb357,Contact: 740-529-2639
41229d75-6a8d-4e84-a0fe-652b56fe2301,"Barry, Harrison and GibsoN Zorg",1fe253b0-7980-4aaa-a93b-4418b170b1ed,Contact: (219)885-3735x7607
f807cdd9-2618-4c80-adf6-b1e0ee8f0e09,WardT-ucker Tervisekeskus,70df67b9-3a6f-46fa-a418-13ef799fde33,Contact: 813.548.1025x05927
53fb2ed1-b953-4807-b009-61c3855a7d8d,Barron-FlEming Tervisekeskus,c5ac7520-cd46-48fe-b2b7-2bd2c97be2af,Contact: (588)999-6297
af3cb9d0-a92c-4c3e-b957-f0829c272c51,amos Ltd Zorg,2258edf3-0ff0-452a-8b25-91c40021b632,Contact: 786-945-7325
8a647b9f-b52f-4009-b6c0-c651f361c497,Waalton Group Gesundheitszentrum,c110412c-3843-4ed6-a586-94b6113c1836,Contact: 850.506.3169
5c29b6da-c1d7-4be9-9df4-97f16b5a174d,"Cordova, Vasquez and SmithTervisekeskus",140a642e-10e8-47f8-8986-148f8b3e00e7,Contact: 910-639-0985x2741
7c2b940d-9045-4445-958c-d60ea07f7f47,"Baker, Davis and Moore GeSundheitszentrum",d2fb05ca-3a72-4b9f-96fb-5c72ed6a1bfc,Contact: 487-465-6016
d31224e0-bebb-460d-b085-ee6da31cc5d2,Carter-Jensjen Tervisekeskus,1d8cca3b-6261-4790-83a0-61c445a16970,Contact: +1-280-658-8027
ffbdfd47-dc79-42f0-9338-94b3854ca896,iKng Inc Zorg,c20166e3-ca68-4a98-b48e-f9a86aeb5a32,Contact: 001-527-408-3518
d4062cce-773a-43fb-b750-3d7733672754,Dickson-Kelley Gsundheitszentrum,e5039055-f90b-4724-b883-a8ea44e8a604,Contact: 324-480-1545x01904
2c94151d-52fa-4935-bf28-355076847398,Martionez-Watkins Zorg,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Contact: 236-540-0041x5584
72e55360-e3ae-412e-bd4f-bfff88653e42,Tqapia-Lozano Zorg,39b66d71-951a-4518-87e7-7e2b6b291a13,Contact: 001-316-652-8037x603
ed4879e7-efd1-44ee-b287-c4407881307d,"Wrigth, Campbell and Powell Tervisekeskus",1fe32b56-69f5-4741-8686-1f295cb76bb9,Contact: 4284533234
94d7f681-d551-4e14-a18d-99ce20fa5cd3,Sanchez PLC Gesunheitszentrum,f190cb53-b489-45c7-a22f-6e82ecdd001e,Contact: +1-523-884-0730x62686
ac91c01e-734c-4192-a557-8e91bee5f64d,Nixon and Sons Gesundheitszentrmu,14ed05bd-e4d0-4ebe-9335-914ce62ce6a3,Contact: 365-964-1293x300
a443a737-8072-4635-8c1f-59dff6b4160b,"Hernandez, Estrada and RichardSon Zorg",03743263-4a06-49aa-827a-cd0de15093b0,Contact: 001-442-907-3965x747
9090d244-c1d4-4db0-909b-f39cacb1691c,DominguezMason Tervisekeskus,94291726-6557-438d-a175-f16a9a642c24,Contact: 936.734.8282
338589c7-04ad-47b7-919b-0fb4b0fde8c9,DonaldsonGroup Gesundheitszentrum,bac114b5-ca19-45a8-8d5a-2ad386d77094,Contact: +1-214-203-2925x940
c4a0c1cd-0654-4465-b311-d9c41d86fd12,Miller-ReYnolds Tervisekeskus,dbb59fc2-5cff-496e-bd03-c81f7ff35029,Contact: (709)484-5363
0806989a-9abf-4e69-a5bc-d7ed6fa68010,Bullock Ince Zorg,a0a1f43f-9638-43c7-a85e-406b817131eb,Contact: +1-628-916-4593x0525
679140e0-b6fe-4e9a-8f15-c995424a2898,Villanueva PLC GesundheitsZentrum,c1308a09-cddd-43bb-b56a-a13d13f1484a,Contact: +1-676-329-6219x127
f4105d94-c689-437b-b945-23fe03cb8f1e,Smit hPLC Zorg,cd43cfeb-8938-4b90-9341-45328252f723,Contact: (816)567-0521
e45d8903-679b-4ce2-a81d-30de4c15514d,Castro LtD Gesundheitszentrum,663eab2b-c832-45cc-995d-767b0c1333ce,Contact: +1-407-382-8239
48df480e-a3b4-4529-82a0-07fce04ee43c,"Atkins, Mills and Osboorne Zorg",dd6af484-024d-45de-af44-eaeb6734162f,Contact: (728)321-5052
8d20dbea-7ae3-48cf-8ace-37d3673ef518,"Miller, Stewar tand Reyes Gesundheitszentrum",8923cba1-7874-466b-bc34-e6ebaeaaec48,Contact: (381)332-6852x12206
3b77ba5f-5860-46e3-832d-5e70777cd128,"Briggs, Manning and oCnway Zorg",66f1b0a0-7a1a-462b-ba13-834fde8e3228,Contact: 001-880-565-5803x91715
6b496a3b-f26c-4972-a1da-fdd8ea097bb2,Adamms-Webb Tervisekeskus,2e0885fc-5da2-4c06-b146-b0800a2cf6a9,Contact: 8376520782
429817c5-3308-4b2e-a42a-ad48fcfcfa81_var1,Carlson Ltd Zonrg LLC,7795e986-80ee-426e-8fa0-7a3f2e295065,Contact: (979)423-0225x841
58ccf9b4-354a-41bd-ba56-12f7600aa45e_var1,oJhnson-Jenkins Tervisekeskus & Co.,8d2ad974-4a86-4655-8a9d-499ca2698c2d,Contact: (821)995-2069
df39ccaa-580c-49fc-bb69-e69041300879_var1,"Fitzgerald, Collins and Haeth Gesundheitszentrum Ltd.",ac33f644-4053-4188-b39d-78f5d658b1b3,Contact: 001-930-948-1077x706
72e55360-e3ae-412e-bd4f-bfff88653e42_var1,Tqapia-Lozano Zorg Group,39b66d71-951a-4518-87e7-7e2b6b291a13,Contact: 001-316-652-8037x603
0806989a-9abf-4e69-a5bc-d7ed6fa68010_var1,Bullock Ince Zorg Group,a0a1f43f-9638-43c7-a85e-406b817131eb,Contact: +1-628-916-4593x0525
ed4879e7-efd1-44ee-b287-c4407881307d_var1,"Wrigth, Campbell and Powell Tervisekeskus LLC",1fe32b56-69f5-4741-8686-1f295cb76bb9,Contact: 4284533234
a8b56f85-346d-4b7e-80d3-d1af353e0c86_var1,JonesB-arry Gesundheitszentrum & Co.,3b019fcb-f96d-4403-948c-93f3028d042b,Contact: +1-610-445-0932x27175
28b4d5b9-693d-493c-b96f-9881572abb53_var1,Munoz-Martin ZZorg Inc.,b693f4ef-1ad5-46c3-acb0-3f486ed63ea4,Contact: 001-248-515-5257
b38e5adb-a93f-4902-88de-c9ab27c3e784_var1,Kirk PLC  Zorg Center,caa0a679-6e83-47b2-8857-d8c3b4a06976,Contact: 001-265-770-8693
c4a0c1cd-0654-4465-b311-d9c41d86fd12_var1,Miller-ReYnolds Tervisekeskus Center,dbb59fc2-5cff-496e-bd03-c81f7ff35029,Contact: (709)484-5363
054b8816-0d18-433e-befa-2faf58ba0bf3_var1,"Johnnson, Foster and Wilson Tervisekeskus Ltd.",ef208346-432f-4308-8d56-206d920c3de9,Contact: 304-794-3885x643
3239d04b-cbab-4b51-b85c-5fdcbad3116b_var1,Simmons-Vasquez TervIsekeskus LLC,fbc59e92-ca12-49ad-9963-05b371b221e4,Contact: 539.606.0312x502
ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5_var1,Kelly-Chen TervisekesKus Inc.,30c32323-c1b1-49c4-9f1f-f97c71cff814,Contact: 3748089933
e45d8903-679b-4ce2-a81d-30de4c15514d_var1,Castro LtD Gesundheitszentrum LLC,663eab2b-c832-45cc-995d-767b0c1333ce,Contact: +1-407-382-8239
ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f_var1,Thomas-Wu Gesundheitszenvtrum Group,7b38785b-0932-45b6-b11d-dff70e370526,Contact: 001-425-260-9767x017
40fe81ec-b259-46a0-9591-99005e7cfaad_var1,Flovres-Lowe Zorg Center,b8f35c26-d13e-439c-9cb6-f1f0e4751694,Contact: +1-573-928-8182x02869
469fc269-ff7a-4d86-809b-3c5bd5e8b89c_var1,Sanders-Perkinss Tervisekeskus Ltd.,a53011a2-3d74-49ee-a514-1471ea951570,Contact: 258.409.9734x09561
6e3c18c9-ef1f-40a3-bc02-ba67ee04bdde_var1,"Black, Huber and BlevinS Gesundheitszentrum & Co.",a1c2d9bf-0dcf-435b-b552-c6e86953a115,Contact: 001-277-247-3540
f3fa8613-90ed-41f4-a4ab-a3f67a658abe_var1,Bryant nIc Gesundheitszentrum & Co.,9bde299d-da28-4b7a-8d6d-99a628d798b4,Contact: (581)247-3142x51202
c15648ff-df0d-4301-888c-ac4e5a9414b8_var1,Wallace-Francs Zorg Center,b5c03f6f-94e4-4c44-a3fb-dbda86ae9d5c,Contact: +1-339-810-1448x51832
